"HolderAddress","Balance","PendingBalanceUpdate"
"0x3d6c9f63f7e73eb7a06c7d8cfc8add3df8ed56fe","4.848588E+22","No"
"0x3e4f8ed42e0855d23e800ce2e8bd55d98f1907d9","3.17321E+21","No"
"0x3ea2ce533c27b969f2df866cc753aa4103bb44b8","2.80003E+21","No"
"0x3f6c742ae51cb750c295f17b47f5f8238c025a80","2.169917252E+22","No"
"0x3fd3421fd3bb062046c30b4d2359242282953b3f","2.86091E+21","No"
"0x3fdab04c7f21432160a6ebe8cfaad2f91662376d","3.824E+20","No"
"0x4030275adf9be88523a82183cf346be19164db29","1.40004E+21","No"
"0x403d8233eb72215d1673cae6515bc9f7af9039ad","6.74322E+21","No"
"0x4090d9837871b7b0d72c34c505ed053b83fe7f1a","2.821687E+22","No"
"0x413cc866472cd4f460726e7beeb540a692ef2d71","6.00731E+21","No"
"0x418b5d44c42c1be3bd631bf3a30f2b86b580a5dd","9E+21","No"
"0x424869264acf650e1ff1becf46ec06ee1d315e7f","2.100007E+22","No"
"0x42ce321f5cb9990e9bb8a1d34cf0ff1f72bd430e","4.372E+21","No"
"0x43b0b068f30cd133b21078fd7bf7699c09e2d3bf","4.8358E+21","No"
"0x479f3dce011bb87e8d39c543fe65983c7166a3cc","2.3521E+21","No"
"0x48d88a5d10595338e46c82256858bacbcd38e224","1E+20","No"
"0x4967bda41b1249e17befc98a8bb73d44267a1e2c","9.47E+20","No"
"0x49daa2d213ee4a5894f06241c02a9f946b36fb03","2E+22","No"
"0x4b77496fdabe85060c5e5ae5a249bdbb32213fa7","2.467374599E+22","No"
"0x4c32f7ce77908124862f59055cdf1bda71861d5b","1.45037E+21","No"
"0x4e050387ecd75b3f01cfc0c7adf1488ecab67a4f","7.868565E+21","No"
"0x4eff59fe50d90643b6a2f2891d3b3215f7ce1af7","1.209E+21","No"
"0x4f337530c520a6930ff258077e7b67efaf915479","3.9792E+20","No"
"0x4fdf5636a3d5508b7f0e13d1cedbb5fe8cb7fc0c","1.2561E+21","No"
"0x509db14ae32a43b98c6427bea50d0915c38c0196","1.1472036963E+23","No"
"0x52cd64066f882c87f461289113c265fa98e9ec34","8.9826E+20","No"
"0x534c6c6940b755d0eb1aa09871488191aff7b56a","2.11298E+21","No"
"0x5517514e594ab148c56f2a88c44a2569240a14f3","8.251E+21","No"
"0x556bc0428d14474bfd6ea346a66e7d9bc1857945","1.99647E+21","No"
"0x55812d7004fccf1501331272a007e5fc9b4d51b9","2.45247E+21","No"
"0x56c4fd3b9fc0c14fca32c7ee33f3f7143fbd2203","2.38983E+21","No"
"0x57db2d89ac0ed9c6afb668ff3b709ed32b1c96f9","5.7057348E+22","No"
"0x596883f5c571f38cacf61233cae55aec5ea6c3b1","2.751696564E+22","No"
"0x5b7033bbf1a84c91f7946b1a92e7c4845c06279a","1.302844E+22","No"
"0x5c072a0edb8a7815b61347e4d8f119551b002956","4.9725E+20","No"
