"HolderAddress","Balance","PendingBalanceUpdate"
"0xaff1832efee9d6bc5d8528103f8d94295fc05209","4687.09175","No"
"0xb13e63a5bfa4e4532f808987e374b132dc6a0e18","4753.70864","No"
"0xb18840e1ddadb2d8635c8dc9e23f7b09b3887854","10","No"
"0xb1abee708f9ef40910ceaac85bb35fb61ccd8340","12984.18426","No"
"0xb27d2eb0f5eb0fa6e0f3db681116c35ba824daa8","11005.13461","No"
"0xb3d8835df672023a5d0f7347bdaaf54423bad5c2","1286.631","No"
"0xb5046b270cfd05b2785048ce2bddfe9edb618df4","3113.863","No"
"0xb5523fd25417a3dac0dc7fde7cd94bb5b5568c65","8501.7136","No"
"0xb7c97ca9ca7c8679935b9c1e53a984b0f6364acf","22058","No"
"0xb7da8fe6ab9b76becd800c6133ba7f147d12759d","6340.25039","No"
"0xb8a0caef41804d44d885c2ffe367075b5243d8bd","4040","No"
"0xbabbe459a3df532adc193fd6cb2b3f327db9fc99","1526801.64574","No"
"0xbc85d3c70ad45cb7eb98596b1f682612a28a9409","150213.5104","No"
"0xbdb0fca8d1c54f4b3beacb50cdc7efd3f45d12fe","36428.64756","No"
"0xc3c1ad5d28d232cd745a4805835118d11ce7477d","7899.65061","No"
"0xc70a89a084609c8a9a00227721f17b9559c48b26","6465","No"
"0xc7e318811aac4e3975bf49d6a7c6fbc82d2305a7","1000000.56968","No"
"0xc7f3a66f240b174cd4687854bc5cb90b592a58d2","7087.93583","No"
"0xc8e22504655621e0cc6895850f3c27bd02320661","5150","No"
"0xc913065b539208507ecea3da3898f97fe10bcb28","12540","No"
"0xca6a36ca3e6b32483f0e486e9dd324d455fd5b44","2042.31982","No"
"0xcd210bff8da862b11452a14b3a80b83384874a86","2116.83674","No"
"0xce771f0f6e187ae28f86e66817475588aae568ec","40309.00702","No"
"0xcf6ccca1670ee96d8a944a869fa0acc711cff1a4","1054.363","No"
"0xd0797211902638dad874432ac221cfecd9446f7f","105137.25473","No"
"0xd75f80783781b4f5eec6346059e8e9237e656cf7","4086.2853","No"
"0xd7908a6444de8b53929c33c626974acc88110748","4372.86224","No"
"0xd7bb739060a742dd147168aba4f1b7c304759617","677000","No"
"0xd96fcc51a852767af7a599a5bdf2daf0f162627b","10978.5277","No"
"0xdb65d9da32e5f42de5e588b8a365a7827a5c77ca","1539.18159","No"
"0xdbcb60f3caf3883248f1ecb25be1c109dc40e51f","2686.15561","No"
"0xdc3cb839f3c790b5798f80ec2f1dab8a2870ecfc","6617.72142","No"
"0xdd586b97dad1e1ff9aa4c3c896fdf61ad3000611","5000","No"
"0xe07eca830b06002b41ccbc4195ba0611217c205c","1760159.34595","No"
"0xe359331186f2facdbef7c7be15ed4a721bb4459c","2664.276","No"
"0xe8c5de43e3a76bd78d79ec81f8e2ad68bbfd8d26","527","No"
"0xeb54b04b7329a8f1f32e6ba1e2419732bcb14647","1400000.08486","No"
"0xee3573066a5313ad9b63511c6304bd26a46ef096","741.50773","No"
"0xf06c9d1c50b24eec2c7c6eb866889c0da7a38768","5178.62852","No"
"0xf07325c84cc551c9a630e7cdfa96f7c3b62d9081","11167","No"
"0xf0e20f8f38622b65cc69a75f016be0aa5637af3f","35310.45738","No"
"0xf1d61496c22df4ec443f5677bb2a060aeffa3a67","10730.727","No"
"0xf62986778bc704fbabad3282945ba59140f58746","3149.57825","No"
"0xf86e9df54219e29c4f3cb825a21985b6da2223df","1224.678","No"
"0xfc0de7fb93671a98e7134235c48896b9ed24dff6","8000","No"
"0xff43405580e6b626a7e1982a4c87f856df982a3a","5424.39622","No"
